test_location,lang_group,part_id,study,gender,order,age_days,keeper,keeper_reason,child_dom_lang,lang_per_en,lang_per_fr,lang_per_sp,lang_per_ot,study_dom,lang_per_dom,lang_per_ndom,lang_mix_score,coding_missing,meanLT,n_trials,mean_lt_pP,s_ID_long,n_trials_prior_exclusion,mean_lt_prior_exclusion,keeper_pre_data_analysis
NewJersey,bilingual,P02,2,female,s1,321,1,NA,Spanish,44,NA,56,NA,dominant,56,44,25,1,7.24,15,5.438666666666666,PhraseMix_NJ_S01,15,5.438666666666666,1
NewJersey,bilingual,P58,2,female,s2,380,0,NotEnoughGoodTrials,Spanish,45,NA,55,NA,dominant,55,45,19,1,NA,14,3.1542857142857144,PhraseMix_NJ_S02,14,3.1542857142857144,1
NewJersey,bilingual,P65,2,female,e1,352,0,NotEnoughGoodTrials,English,73,NA,27,NA,dominant,73,27,20,1,NA,5,5.348,PhraseMix_NJ_S03,5,5.348,1
NewJersey,bilingual,P41,2,female,e2,244,0,NotEnoughGoodTrials,English,53,NA,47,NA,dominant,53,47,8,NA,NA,15,1.4473333333333334,PhraseMix_NJ_S04,15,1.4473333333333334,1
NewJersey,bilingual,P63,2,male,s3,381,0,NotEnoughGoodTrials,English,54,NA,46,NA,non-dominant,54,46,18,1,NA,6,5.033333333333333,PhraseMix_NJ_S05,6,5.033333333333333,1
NewJersey,other,P45,2,female,e1,383,0,language,Spanish,24,NA,76,NA,non-dominant,76,24,NA,1,NA,NA,NA,NA,NA,NA,0
NewJersey,other,P49,2,male,s2,265,0,language,Spanish,9,NA,91,NA,dominant,91,9,NA,1,NA,NA,NA,NA,NA,NA,0
NewJersey,other,P68,2,female,s3,262,0,language,Spanish,15,NA,85,NA,dominant,85,15,NA,1,NA,NA,NA,NA,NA,NA,0
NewJersey,bilingual,P62,2,female,e2,352,1,NA,Spanish,42,NA,58,NA,non-dominant,58,42,NA,NA,5.85,9,5.845555555555555,PhraseMix_NJ_S09,10,5.845555555555555,1
NewJersey,bilingual,P40,2,female,e3,264,1,NA,English,51,NA,49,NA,dominant,51,49,9,1,5.59,15,5.320666666666667,PhraseMix_NJ_S10,15,5.320666666666667,1
NewJersey,bilingual,P25,2,female,s4,248,1,NA,English,60,NA,40,NA,non-dominant,60,40,11,1,5.09,16,5.09375,PhraseMix_NJ_S11,16,5.09375,1
NewJersey,bilingual,P16,2,male,s1,257,0,health,Spanish,42,NA,58,NA,dominant,58,42,NA,1,NA,NA,NA,NA,NA,NA,0
Montreal,other,P10,2,female,E2,274,0,pilot,English,62,18,NA,20,dominant,62,18,11,1,NA,NA,NA,NA,NA,NA,0
Montreal,bilingual,P06,2,male,E2,286,0,pilot,French,42,52,NA,6,non-dominant,52,42,25,1,NA,NA,NA,NA,NA,NA,0
Montreal,other,P11,2,male,NA,293,0,language,French,11,84,NA,6,NA,84,11,5,1,NA,NA,NA,NA,NA,NA,0
Montreal,other,P46,2,female,E3,288,0,language,English,80,19,NA,1,dominant,80,19,12,1,NA,NA,NA,NA,NA,NA,0
Montreal,bilingual,P60,2,female,E3,301,1,NA,English,56,45,NA,0,dominant,56,45,14,NA,10.41,15,7.8933333333333335,PhraseMix_S05_44453,15,7.8933333333333335,1
Montreal,monolingual,P67,2,female,F3,260,1,NA,French,5,95,NA,0,dominant,95,5,2,NA,9.77,16,8.716875,PhraseMix_S06_44965,16,8.716875,1
Montreal,monolingual,P57,2,male,F1,272,1,NA,French,0,100,NA,0,dominant,100,0,1,NA,8.52,16,7.1925,PhraseMix_S07_45024,16,7.1925,1
Montreal,monolingual,P21,2,female,E2,273,1,NA,English,100,0,NA,0,dominant,100,0,1,NA,12.34,16,12.3425,PhraseMix_S08_44924,16,12.3425,1
Montreal,other,P50,2,male,E3,271,0,language,English,88,8,NA,5,dominant,88,8,15,1,NA,NA,NA,NA,NA,NA,0
Montreal,monolingual,P66,2,female,F4,285,1,NA,French,1,99,NA,0,dominant,99,1,4,NA,5.45,15,4.074,PhraseMix_S10_44928,15,4.074,1
Montreal,monolingual,P08,2,female,F2,269,1,NA,French,0,100,NA,0,dominant,100,0,8,NA,6.94,16,6.254375,PhraseMix_S11_44937,16,6.254375,1
Montreal,monolingual,P56,2,female,F2,266,1,NA,French,0,98,NA,3,dominant,98,0,1,NA,7.36,16,7.01375,PhraseMix_S12_44942,16,7.01375,1
Montreal,monolingual,P05,2,female,E3,267,0,experimenterError,English,100,0,NA,0,dominant,100,0,0,1,NA,NA,NA,NA,NA,NA,1
Montreal,other,P32,2,female,F4,271,0,language,French,16,84,NA,0,dominant,84,16,22,1,NA,NA,NA,NA,NA,NA,0
Montreal,monolingual,P24,2,female,F3,253,1,NA,French,0,100,NA,0,dominant,100,0,0,NA,5.11,16,5.110625,PhraseMix_S15_44853,16,5.110625,1
Montreal,monolingual,P13,2,male,F2,244,1,NA,French,0,100,NA,0,dominant,100,0,2,NA,8.74,16,7.85,PhraseMix_S16_44855,16,7.85,1
Montreal,monolingual,P54,2,male,E1,242,1,NA,English,91,10,NA,0,dominant,91,10,13,NA,7.51,16,6.74,PhraseMix_S17_44843,16,6.74,1
Montreal,monolingual,P37,2,female,F1,288,0,NotEnoughGoodTrials,French,0,100,NA,0,dominant,100,0,2,NA,NA,12,1.9708333333333334,PhraseMix_S18_45277,12,1.9708333333333334,1
Montreal,monolingual,P53,2,male,F4,272,0,NotEnoughGoodTrials,French,0,100,NA,0,dominant,100,0,5,1,NA,6,2.7733333333333334,PhraseMix_S19_45271,6,2.7733333333333334,1
Montreal,other,P15,2,male,E4,298,0,language,English,88,10,NA,2,dominant,88,10,19,1,NA,NA,NA,NA,NA,NA,0
Montreal,bilingual,P39,2,male,F1,269,1,NA,English,42,38,NA,20,non-dominant,42,38,21,NA,5.3,16,5.0775,PhraseMix_S21_44768,16,5.0775,1
Montreal,monolingual,P14,2,female,F1,251,1,NA,French,0,100,NA,0,dominant,100,0,6,NA,5.82,16,5.8168750000000005,PhraseMix_S22_44887,16,5.8168750000000005,1
Montreal,monolingual,P09,2,female,F4,251,0,NotEnoughGoodTrials,French,0,100,NA,0,dominant,100,0,10,NA,NA,8,6.195,PhraseMix_S23_45583,9,6.195,1
Montreal,bilingual,P04,2,male,E3,251,1,NA,English,69,26,NA,6,dominant,69,26,19,NA,6.97,16,5.568125,PhraseMix_S24_44078,16,5.568125,1
Montreal,bilingual,P35,2,male,E2,253,1,NA,French,43,57,NA,0,non-dominant,57,43,7,NA,9.18,16,8.200625,PhraseMix_S25_44845,16,8.200625,1
Montreal,bilingual,P43,2,female,F2,302,0,NotEnoughGoodTrials,French,29,72,NA,0,dominant,72,29,19,NA,NA,11,2.9736363636363636,PhraseMix_S26_45278,11,2.9736363636363636,1
Montreal,other,P52,2,female,E1,279,0,language,French,23,77,NA,0,non-dominant,77,23,20,1,NA,NA,NA,NA,NA,NA,0
Montreal,bilingual,P28,2,male,E1,262,1,NA,French,26,74,NA,0,non-dominant,74,26,10,NA,7.68,16,7.684375,PhraseMix_S28_45529,16,7.684375,1
Montreal,monolingual,P12,2,male,E4,265,1,NA,English,100,0,NA,0,dominant,100,0,11,NA,5.56,16,5.319375,PhraseMix_S29_44835,16,5.319375,1
Montreal,bilingual,P48,2,female,E2,311,1,NA,French,26,75,NA,0,non-dominant,75,26,0,NA,10.9,16,10.899375,PhraseMix_S30_45590,16,10.899375,1
Montreal,monolingual,P31,2,female,F2,291,1,NA,French,0,100,NA,0,dominant,100,0,4,NA,8.49,16,8.021875,PhraseMix_S31_44771,16,8.021875,1
Montreal,other,P17,2,female,E3,300,0,language,English,77,24,NA,0,dominant,77,24,NA,1,NA,NA,NA,NA,NA,NA,0
