test_location,lang_group,part_id,study,gender,order,age_days,keeper,keeper_reason,child_dom_lang,lang_per_en,lang_per_fr,lang_per_sp,lang_per_ot,study_dom,lang_per_dom,lang_per_ndom,lang_mix_score,coding_missing,meanLT,n_trials,mean_lt_pP,s_ID_long,n_trials_prior_exclusion,mean_lt_prior_exclusion,keeper_pre_data_analysis
Montreal,monolingual,P34,2,female,F4,258,1,NA,French,0,100,NA,0,dominant,100,0,6,NA,8.92,16,7.491875,PhraseMix_S33_45798,16,7.491875,1
Montreal,other,P30,2,female,E3,270,0,language,English,86,14,NA,0,dominant,86,14,16,1,NA,NA,NA,NA,NA,NA,0
Montreal,monolingual,P33,2,male,F4,306,1,NA,French,9,91,NA,0,dominant,91,9,1,NA,8.71,16,7.765000000000001,PhraseMix_S35_46070,16,7.765000000000001,1
Montreal,bilingual,P20,2,male,F4,268,1,NA,French,31,69,NA,0,dominant,69,31,0,NA,8.51,9,8.507777777777777,PhraseMix_S36_44714,9,8.507777777777777,1
Montreal,monolingual,P26,2,male,E3,245,0,NotEnoughGoodTrials,English,96,0,NA,4,dominant,96,0,1,NA,NA,12,6.43,PhraseMix_S37_46317,13,6.328461538461538,1
Montreal,monolingual,P22,2,male,F3,258,1,NA,French,0,100,NA,0,dominant,100,0,4,NA,10.29,15,9.101333333333333,PhraseMix_S38_46720,15,9.101333333333333,1
Montreal,bilingual,P03,2,female,F3,295,1,NA,English,51,50,NA,0,non-dominant,51,50,18,1,5.3,16,4.623125,PhraseMix_S39_46335,16,4.623125,1
Montreal,other,P18,2,female,F2,269,0,language,French,12,88,NA,0,dominant,88,12,23,1,NA,NA,NA,NA,NA,NA,0
Montreal,bilingual,P38,2,female,E3,274,1,NA,English,59,42,NA,0,dominant,59,42,22,NA,8.92,16,7.920625,PhraseMix_S41_48898,16,7.920625,1
Montreal,other,P44,2,female,E1,297,0,language,English,65,23,NA,12,dominant,65,23,20,1,NA,NA,NA,NA,NA,NA,0
Montreal,bilingual,P42,2,male,F3,303,1,NA,English,62,38,NA,0,non-dominant,62,38,15,NA,13.75,16,13.751249999999999,PhraseMix_S43_48439,16,13.751249999999999,1
Montreal,bilingual,P59,2,female,E1,242,1,NA,French,34,63,NA,13,non-dominant,63,34,NA,NA,13.07,12,13.071666666666667,PhraseMix_S44_46540,12,13.071666666666667,1
Montreal,bilingual,P61,2,female,F1,264,1,NA,French,35,66,NA,0,dominant,66,35,16,NA,11.06,16,11.065,PhraseMix_S45_48718,16,11.065,1
Montreal,bilingual,P36,2,female,NA,311,0,parentalInterference,English,51,49,NA,0,NA,51,49,28,1,NA,NA,NA,NA,NA,NA,1
Montreal,bilingual,P27,2,male,E4,299,1,NA,English,70,30,NA,0,dominant,70,30,5,NA,12.05,12,11.178333333333333,PhraseMix_S47_49089,12,11.178333333333333,1
Montreal,monolingual,P55,2,female,F2,309,0,language,English,92,8,NA,0,non-dominant,92,8,NA,1,NA,NA,NA,NA,NA,NA,0
Montreal,monolingual,P29,2,male,E1,297,1,NA,English,94,7,NA,0,dominant,94,7,16,NA,6.86,9,6.861111111111112,PhraseMix_S49_49237,9,6.861111111111112,1
Montreal,monolingual,P23,2,male,E3,280,1,NA,English,98,2,NA,0,dominant,98,2,15,NA,6.73,16,6.064375,PhraseMix_S50_49439,16,6.064375,1
Montreal,bilingual,P01,2,female,E4,310,1,NA,French,35,65,NA,0,non-dominant,65,35,12,NA,5.5,16,4.91875,PhraseMix_S51_49074,16,4.91875,1
Montreal,other,P47,2,female,F4,243,0,language,French,13,82,NA,6,dominant,82,13,11,1,NA,NA,NA,NA,NA,NA,0
Montreal,bilingual,P19,2,male,F2,312,0,language,French,30,33,NA,37,dominant,33,30,18,1,NA,NA,NA,NA,NA,NA,0
Montreal,bilingual,P07,2,male,NA,283,0,technicalDifficulties,English,66,34,NA,0,NA,66,34,NA,1,NA,NA,NA,NA,NA,NA,0
Montreal,bilingual,P64,2,female,E3,256,1,NA,English,62,38,NA,0,dominant,62,38,9,NA,5.47,16,4.445625,PhraseMix_S55_49582,16,4.445625,1
Montreal,bilingual,P51,2,male,F2,254,1,NA,English,56,44,NA,0,non-dominant,56,44,10,NA,9.77,16,9.195625,PhraseMix_S56_50473,16,9.195625,1
